"","name_text6","state_text6","last_digit_text6"
"247","*Barron County Electric Cooperative","Wisconsin","889"
"248","*Barron Light and Water Commission","Wisconsin","875"
"250","ship Corporation","Indiana","184"
"251","*Bartlett Electric Cooperative, Inc","Texas","780"
"252","*Bartlett Municipal Light Plant","Texas","771"
"253","*Bartley, Village of","Nebraska","466"
"254","*Barton County Electric Cooperative","Missouri","443"
"255","*Barton Village, Inc","Vermont","807"
"256","*Bartow, City of","Florida","91"
"257","Basin Gold Mines, Inc","Montana","453"
"258","*Basin Municipal Light & Water Plant","Wyoming","900"
"259","Bassetts Furniture Company","Virginia","818"
"260","*Batavia, City of","Illinois","144"
"261","Bates Manufacturing Company","Maine","305"
"262","*Bath Electric, Gas, and Water System","New York","549"
"266","Battle Creek Power Company, Inc","South Dakota ","721"
"267","*Baudette Light & Water Department --","Minnesota ","381"
"268","*Bayard, City of","Nebraska ","466"
"270","Bay De Noquet Company -","Michigan ","353"
"271","Bay Point Light & Power Co","California","37"
"272","Bayer Light Company","South Dakota ","721"
"273","•Bayport Municipal Light Plant","Minnesota ","381"
"275","*Beartooth Electric Cooperative, Inc","Montana ","454"
"276","*Beatrice, City of","Nebraska ","466"
"277","*Beauregard Electric Cooperative, Inc","Louisiana ","294"
"278","*Beaver City, City of","Nebraska ","466"
"279","*Beaver City Corporation","Utah ","793"
"280","•Bedford Rural Electric Cooperative, Inc","Pennsylvania ","703"
"281","•Bedford, Town of","Virginia ","819"
"282","Beebee Island Corporation","New York ","547"
"283","Beech Bottom Power Company, Inc","West Virginia ","845"
"284","*Belden Municipal Power Plant","Nebraska ","466"
"285","Belding Hemingway Co","Connecticut","76"
"286","*Belfalls Electric Cooperative, Inc","Texas ","780"
"287","•Belhaven, Town of","North Carolina ","570"
"288","*Bellaire, Village of ---","Michigan ","355"
"289","*Bellefontaine Department of Public Utilities","Ohio ","611"
"290","•Belleville, City of","Kansas ","246"
"291","•Bellevue Municipal Light Department","Iowa ","207"
"292","*Bellevue, Village of","Michigan ","355"
"293","Bell Light Company, F. O","South Dakota ","721"
"294","Bell, Mr. Frank","Oklahoma ","634"
"295","Bellows Falls Hydro-Electric Corporation","New Hampshire ","601"
"296","","Vermont ","801"
"298","•Belmont Electric Cooperative, Inc","Ohio ","627"
"299","Belmont Hosiery Co","New Hampshire ","506"
"300","•Belmont Light, Power, and Water Plant","Wisconsin ","875"
"301","*Belmont Municipal Light Department","Massachusetts ","336"
"302","*Beloit Light and Water Department","Kansas ","246"
"303","Belton Light & Power","South Carolina ","709"
"304","Belvidere Light and Power Company","South Dakota ","721"
"305","*Belvidere Light System","Nebraska... ","466"
"306","•Belzoni Water & Light Plant","Mississippi ","408"
"307","*Benkelman Light and Water Department","Nebraska ","466"
"308","*Bennettevillc Electric and Water Plant","South Carolina ","715"
"309","•Benson Light, Heat and Power Plant","Minnesota ","381"
"310","•Benson, Town of","North Carolina ","570"
"311","•Benton City Light & Water Company","Kentucky ","277"
"312","•Benton County, Board of Public Utilities","Tennessee ","739"
"313","•Benton County Electric Cooperative Association.","Iowa ","227"
"314","Benton County Utilities Corporation","Arkansas","28"
"315","•Benton Electric Light and Power District No. 1__","Arkansas","32"
"316","•Benton Electric and Water Public Utility","Wisconsin ","876"
"317","•Benton Heights Municipal Light System","North Carolina ","570"
"318","•Benton-Lincoln Electric Cooperative, Inc","Oregon ","665"
"319","•Benton Rural Electric Association","Washington ","839"
"320","Benton Utility Company","Oregon ","655"
"321","•Bentonville Light and Water System","Arkansas.","32"
"322","Berea College Heat & Power Plant..","Kentucky ","269"
"323","•Berea Light and Water Department","Ohio ","611"
"324","•Beresford, City of","South Dakota ","727"
"326","of","New York ","550"
"327","•Berkeley Electric Cooperative, Inc","South Carolina ","718"
"328","•Berlin Borough Municipal Electric Light System..","Pennsylvania ","697"
"329","•Berlin Electric Department","Maryland ","315"
"330","Berrien Gas & Electric Company","Michigan ","344"
"331","•Bertrand Municipal Light & Water Plant","Nebraska ","467"
"335","Berwind- White Coal Mining Company","Pennsylvania ","694"
"336","Bessemer Coal, Iron & Land Co","Alabama ","6"
"337","*Bessemer Electric Service","Alabama ","7"
"338","*Bessemer Light Utility","Michigan ","355"
"339","*Bethany Municipal Light Plant","Illinois ","144"
"340","*Bethany Water and Light Plant","Missouri ","433"
"341","*Bethel Municipal Light Plant","Ohio... ","611"
"342","Bethlehem Steel Company","Pennsylvania ","694"
"343","Bever Electric Company","South Dakota ","721"
"344","Beverly Gas and Electric Company","Massachusetts ","320"
"345","Bibb Manufacturing Co","Georgia ","104"
"346","*Big Bend Electric Cooperative, Inc","Washington ","839"
